file	node	width	hdens	capr	lowb	upb	gap	time
small_testset/random15_1.d	1	10	3	4	4	6	33.3333	0.046
small_testset/random15_1.d	1	100	3	4	4	6	33.3333	0.202
small_testset/random15_1.d	1	200	3	4	4	6	33.3333	0.389
small_testset/random15_1.d	1	400	3	4	4	6	33.3333	0.733
small_testset/random15_1.d	1	500	3	4	4	6	33.3333	0.842
small_testset/random15_1.d	1	750	3	4	4	6	33.3333	1.029
small_testset/random15_1.d	1	1000	3	4	4	6	33.3333	1.513
small_testset/random15_1.d	1	2000	3	4	4	6	33.3333	2.839
small_testset/random15_1.d	1	5000	3	4	4	6	33.3333	6.66
small_testset/random15_1.d	1	7500	3	4	4	6	33.3333	9.266
small_testset/random15_1.d	1	10000	3	4	4	6	33.3333	11.341
small_testset/random15_1.d	1	15000	3	4	4	6	33.3333	15.708
small_testset/random15_1.d	1	20000	3	4	4	6	33.3333	19.717
small_testset/random15_1.d	1	25000	3	4	5	5	0	23.275
small_testset/random15_1.d	1	30000	3	4	5	5	0	27.814
small_testset/random15_1.d	1	35000	3	4	5	5	0	29.686
small_testset/random15_1.d	1	40000	3	4	5	5	0	32.619
small_testset/random15_1.d	1	45000	3	4	5	5	0	36.628
small_testset/random15_1.d	1	50000	3	4	5	5	0	39.312
