file	nodes	width	hdens	capr	lowb	upb	gap	time
small_testset/caprara10.d	1	10	2	3	3	5	40	0.03
small_testset/caprara10.d	1	20	2	3	3	5	40	0.015
small_testset/caprara10.d	1	50	2	3	3	5	40	0.031
small_testset/caprara10.d	1	100	2	3	3	5	40	0.061
small_testset/caprara10.d	1	200	2	3	3	5	40	0.14
small_testset/caprara10.d	1	500	2	3	3	5	40	0.311
small_testset/caprara10.d	1	750	2	3	3	5	40	0.328
small_testset/caprara10.d	1	755	2	3	3	5	40	0.327
small_testset/caprara10.d	1	800	2	3	3	5	40	0.342
small_testset/caprara10.d	1	1000	2	3	3	5	40	0.467
small_testset/caprara10.d	1	2000	2	3	3	5	40	1.06
small_testset/caprara10.d	1	3000	2	3	3	5	40	1.576
small_testset/caprara10.d	1	4000	2	3	3	5	40	1.34
small_testset/caprara10.d	1	5000	2	3	3	4	25	2.464
small_testset/caprara10.d	1	10000	2	3	3	5	40	3.665
small_testset/caprara10.d	1	20000	2	3	3	5	40	7.206
small_testset/caprara10.d	1	40000	2	3	3	4	25	8.517
