file	nodes	width	hdens	capr	low upp	gap	time
small_testset/caprara10.d	1	10	2	3	3	5	40	0.046
small_testset/caprara10.d	1	20	2	3	3	5	40	0.031
small_testset/caprara10.d	1	50	2	3	3	5	40	0.078
small_testset/caprara10.d	1	100	2	3	3	5	40	0.078
small_testset/caprara10.d	1	200	2	3	3	5	40	0.156
small_testset/caprara10.d	1	500	2	3	3	5	40	0.312
small_testset/caprara10.d	1	750	2	3	3	5	40	0.405
small_testset/caprara10.d	1	755	2	3	4	5	20	0.374
small_testset/caprara10.d	1	800	2	3	4	5	20	0.389
small_testset/caprara10.d	1	1000	2	3	4	4	0	0.468
small_testset/caprara10.d	1	2000	2	3	4	4	0	0.67
small_testset/caprara10.d	1	3000	2	3	4	4	0	0.592
small_testset/caprara10.d	1	4000	2	3	4	4	0	0.67
small_testset/caprara10.d	1	5000	2	3	4	4	0	0.67
small_testset/caprara10.d	1	10000	2	3	4	4	0	0.67
