file	node	width	hdens	capr	lowb	upb	gap	time
small_testset/random15_1.d	1	10	3	4	4	6	33.3333	0.046
small_testset/random15_1.d	1	100	3	4	4	6	33.3333	0.374
small_testset/random15_1.d	1	200	3	4	4	6	33.3333	0.623
small_testset/random15_1.d	1	400	3	4	4	6	33.3333	1.06
small_testset/random15_1.d	1	500	3	4	4	6	33.3333	1.247
small_testset/random15_1.d	1	750	3	4	4	6	33.3333	1.419
small_testset/random15_1.d	1	1000	3	4	4	6	33.3333	2.167
small_testset/random15_1.d	1	2000	3	4	4	6	33.3333	3.992
small_testset/random15_1.d	1	5000	3	4	4	6	33.3333	9.344
small_testset/random15_1.d	1	7500	3	4	4	6	33.3333	12.729
small_testset/random15_1.d	1	10000	3	4	4	6	33.3333	16.052
small_testset/random15_1.d	1	15000	3	4	4	6	33.3333	21.262
small_testset/random15_1.d	1	20000	3	4	4	6	33.3333	27.861
small_testset/random15_1.d	1	25000	3	4	5	5	0	30.872
small_testset/random15_1.d	1	30000	3	4	5	5	0	36.27
small_testset/random15_1.d	1	40000	3	4	5	5	0	41.527
small_testset/random15_1.d	1	50000	3	4	5	5	0	50.185
