file	nodes	width	hdens	capr	low upp	gap	time
small_testset/caprara10.d	1	10	2	3	3	5	40	0.062
small_testset/caprara10.d	1	20	2	3	3	5	40	0.109
small_testset/caprara10.d	1	50	2	3	3	5	40	0.218
small_testset/caprara10.d	1	100	2	3	3	5	40	0.374
small_testset/caprara10.d	1	200	2	3	3	5	40	0.686
small_testset/caprara10.d	1	500	2	3	3	5	40	1.544
small_testset/caprara10.d	1	750	2	3	3	5	40	2.184
small_testset/caprara10.d	1	755	2	3	3	5	40	2.137
small_testset/caprara10.d	1	800	2	3	3	5	40	2.246
small_testset/caprara10.d	1	1000	2	3	3	5	40	2.714
small_testset/caprara10.d	1	2000	2	3	3	5	40	5.053
small_testset/caprara10.d	1	3000	2	3	3	5	40	7.566
small_testset/caprara10.d	1	4000	2	3	3	5	40	9.031
small_testset/caprara10.d	1	5000	2	3	3	4	25	10.81
small_testset/caprara10.d	1	10000	2	3	3	5	40	18.922
small_testset/caprara10.d	1	20000	2	3	3	4	25	34.866
small_testset/caprara10.d	1	40000	2	3	3	5	40	58.017
small_testset/caprara10.d	1	60000	2	3	3	4	25	78.998
small_testset/caprara10.d	1	80000	2	3	3	4	25	103.428
