file	nodes	width	hdens	capr	lowb	upb	gap	time
small_testset/caprara10.d	1	10	2	3	3	5	40	0.031
small_testset/caprara10.d	1	20	2	3	3	5	40	0.031
small_testset/caprara10.d	1	50	2	3	3	5	40	0.078
small_testset/caprara10.d	1	100	2	3	3	5	40	0.093
small_testset/caprara10.d	1	200	2	3	3	5	40	0.171
small_testset/caprara10.d	1	500	2	3	3	5	40	0.312
small_testset/caprara10.d	1	800	2	3	4	5	20	0.436
small_testset/caprara10.d	1	1000	2	3	4	4	0	0.468
small_testset/caprara10.d	1	2000	2	3	4	4	0	0.779
small_testset/caprara10.d	1	3000	2	3	4	4	0	0.624
small_testset/caprara10.d	1	4000	2	3	4	4	0	0.717
small_testset/caprara10.d	1	5000	2	3	4	4	0	0.748
