file	node	width	hdens	capr	lowb	upb	gap	time
small_testset/random15_1.d	1	10	3	4	4	6	33.3333	0.031
small_testset/random15_1.d	1	100	3	4	4	6	33.3333	0.234
small_testset/random15_1.d	1	200	3	4	4	6	33.3333	0.452
small_testset/random15_1.d	1	400	3	4	4	6	33.3333	0.748
small_testset/random15_1.d	1	500	3	4	4	6	33.3333	0.935
small_testset/random15_1.d	1	750	3	4	4	6	33.3333	1.388
small_testset/random15_1.d	1	1000	3	4	4	6	33.3333	1.715
small_testset/random15_1.d	1	2000	3	4	4	6	33.3333	3.151
small_testset/random15_1.d	1	5000	3	4	4	6	33.3333	6.942
small_testset/random15_1.d	1	7500	3	4	4	6	33.3333	9.577
small_testset/random15_1.d	1	10000	3	4	4	6	33.3333	11.995
small_testset/random15_1.d	1	15000	3	4	4	6	33.3333	16.769
small_testset/random15_1.d	1	20000	3	4	4	6	33.3333	20.779
small_testset/random15_1.d	1	25000	3	4	5	5	0	27.112
small_testset/random15_1.d	1	30000	3	4	5	5	0	30.373
small_testset/random15_1.d	1	40000	3	4	5	5	0	37.143
small_testset/random15_1.d	1	50000	3	4	5	5	0	44.211
