file	nodes	width	hdens	capr	low upp	gap	time
small_testset/caprara10.d	1	10	2	3	3	5	40	0.031
small_testset/caprara10.d	1	20	2	3	3	5	40	0.015
small_testset/caprara10.d	1	50	2	3	3	5	40	0.063
small_testset/caprara10.d	1	100	2	3	3	5	40	0.093
small_testset/caprara10.d	1	200	2	3	3	5	40	0.124
small_testset/caprara10.d	1	500	2	3	3	5	40	0.312
small_testset/caprara10.d	1	800	2	3	4	5	20	0.405
small_testset/caprara10.d	1	1000	2	3	4	4	0	0.483
small_testset/caprara10.d	1	2000	2	3	4	4	0	0.655
small_testset/caprara10.d	1	3000	2	3	4	4	0	0.671
small_testset/caprara10.d	1	4000	2	3	4	4	0	0.733
small_testset/caprara10.d	1	5000	2	3	4	4	0	0.717
small_testset/caprara10.d	1	10000	2	3	4	4	0	0.779
